Subject,Event,Session,S2_Condition,Valence,Arousal,Detail,Regret,Control,Own_Eyes_P,Observer_P
2,Event #098,1,Baseline,4,1,4,2,4,6,1
2,Event #098,3,Baseline,4,1,5,1,6,7,1
2,Event #099,1,Worse,4,1,3,3,2,6,1
2,Event #099,3,Worse,4,2,3,2,2,7,1
2,Event #100,1,Baseline,4,2,3,3,3,6,1
2,Event #100,3,Baseline,4,6,2,7,2,2,1
2,Event #101,1,Better,4,1,4,1,3,6,1
2,Event #101,3,Better,4,1,3,2,5,7,1
2,Event #102,1,Observer,4,1,4,1,2,6,1
2,Event #102,3,Observer,4,4,3,1,6,7,1
2,Event #103,1,Remember,4,1,5,1,3,6,1
2,Event #103,3,Remember,4,1,4,1,1,7,1
2,Event #104,1,Baseline,4,1,5,1,1,6,1
2,Event #104,3,Baseline,4,1,4,1,2,7,1
2,Event #105,1,Better,4,1,3,1,2,6,1
2,Event #105,3,Better,4,1,4,1,5,6,1
2,Event #106,1,Better,3,2,3,2,1,6,1
2,Event #106,3,Better,2,4,6,6,1,7,1
2,Event #107,1,Observer,3,2,4,1,1,6,1
2,Event #107,3,Observer,3,1,3,6,7,7,1
2,Event #108,1,Better,4,2,5,1,1,6,1
2,Event #108,3,Better,4,1,5,1,2,7,1
2,Event #109,1,Worse,3,3,4,5,7,6,1
2,Event #109,3,Worse,4,2,2,4,6,7,7
2,Event #110,1,Baseline,3,4,5,4,1,6,1
2,Event #110,3,Baseline,2,5,2,5,2,5,2
2,Event #112,1,Worse,4,2,3,1,5,6,1
2,Event #112,3,Worse,3,1,5,1,7,7,1
2,Event #114,1,Observer,5,2,5,1,1,6,1
2,Event #114,3,Observer,4,1,5,2,1,7,1
2,Event #115,1,Better,4,2,4,1,6,6,1
2,Event #115,3,Better,3,3,4,4,4,7,1
2,Event #116,1,Worse,4,2,4,1,7,6,1
2,Event #116,3,Worse,4,1,5,2,7,6,2
2,Event #117,1,Baseline,4,2,4,1,4,6,1
2,Event #117,3,Baseline,4,2,5,4,3,7,1
2,Event #118,1,Remember,5,2,5,1,3,6,1
2,Event #118,3,Remember,4,1,5,1,3,7,1
2,Event #119,1,Observer,2,4,5,3,6,6,1
2,Event #119,3,Observer,2,5,5,4,6,7,1
2,Event #120,1,Baseline,4,2,4,1,6,6,1
2,Event #120,3,Baseline,4,1,5,2,7,5,2
4,Event #001,1,Worse,2,6,7,7,7,7,1
4,Event #001,3,Worse,1,7,7,7,7,7,1
4,Event #002,1,Better,3,4,7,5,5,7,1
4,Event #002,3,Better,3,3,7,5,3,7,1
4,Event #003,1,Better,3,2,5,3,5,7,1
4,Event #003,3,Better,6,3,5,1,6,7,1
4,Event #004,1,Baseline,3,4,4,6,4,7,1
4,Event #004,3,Baseline,3,5,7,5,4,7,1
4,Event #005,1,Worse,3,3,6,6,3,7,1
4,Event #005,3,Worse,3,5,6,6,7,6,1
4,Event #006,1,Better,1,6,3,6,5,5,2
4,Event #006,3,Better,1,4,3,7,5,7,2
4,Event #007,1,Better,1,7,4,1,1,7,1
4,Event #007,3,Better,2,7,5,6,1,5,4
4,Event #008,1,Worse,4,2,5,5,7,7,1
4,Event #008,3,Worse,3,3,5,5,7,7,1
4,Event #009,1,Worse,3,4,7,5,4,7,1
