Subject	Event	Session	S2_Condition	Arousal	Detail
5	Event #019	2	Remember	3	5
5	Event #020	2	Remember	6	6
5	Event #021	2	Better	6	2
5	Event #023	2	Remember	4	7
5	Event #024	2	Remember	2	6
5	Event #025	2	Remember	4	5
5	Event #027	2	Better	6	5
5	Event #028	2	Worse	6	6
5	Event #029	2	Worse	6	7
5	Event #030	2	Better	5	4
5	Event #033	2	Better	3	4
5	Event #035	2	Observer	5	6
5	Event #036	2	Remember	4	5
5	Event #037	2	Worse	4	4
5	Event #038	2	Observer	3	5
5	Event #039	2	Observer	1	7
5	Event #040	2	Remember	5	6
5	Event #041	2	Observer	2	3
5	Event #042	2	Worse	4	6
5	Event #043	2	Observer	4	6
5	Event #044	2	Observer	3	7
5	Event #046	2	Observer	3	6
5	Event #048	2	Remember	5	5
5	Event #049	2	Better	2	6
5	Event #050	2	Better	3	4
5	Event #051	2	Worse	4	7
5	Event #052	2	Observer	5	7
5	Event #054	2	Remember	3	6
5	Event #055	2	Worse	6	6
5	Event #057	2	Better	4	7
5	Event #058	2	Remember	4	5
5	Event #059	2	Remember	6	6
5	Event #060	2	Worse	4	6
5	Event #061	2	Worse	5	6
5	Event #062	2	Observer	4	4
5	Event #063	2	Better	1	6
5	Event #064	2	Better	3	5
5	Event #065	2	Remember	2	5
5	Event #066	2	Worse	3	3
5	Event #067	2	Remember	5	7
5	Event #069	2	Better	3	3
5	Event #070	2	Remember	3	5
5	Event #071	2	Remember	4	6
5	Event #072	2	Observer	2	5
5	Event #075	2	Better	5	5
5	Event #076	2	Observer	3	4
5	Event #077	2	Worse	3	4
5	Event #078	2	Worse	1	4
5	Event #079	2	Remember	1	4
5	Event #082	2	Worse	6	6
5	Event #083	2	Observer	2	7
5	Event #084	2	Better	2	2
5	Event #085	2	Worse	3	5
5	Event #086	2	Better	4	6
5	Event #087	2	Remember	5	6
5	Event #088	2	Worse	3	5
5	Event #089	2	Remember	5	7
5	Event #090	2	Worse	5	6
5	Event #091	2	Remember	2	4
5	Event #092	2	Better	2	5
5	Event #093	2	Observer	1	4
5	Event #094	2	Remember	3	6
5	Event #095	2	Worse	5	5
5	Event #096	2	Observer	3	5
5	Event #097	2	Better	4	4
5	Event #098	2	Better	4	6
5	Event #099	2	Worse	6	6
5	Event #100	2	Better	3	6
5	Event #101	2	Better	4	5
5	Event #102	2	Observer	3	5
5	Event #104	2	Observer	2	4
5	Event #106	2	Remember	2	6
5	Event #110	2	Worse	3	4
5	Event #111	2	Observer	3	6
5	Event #112	2	Remember	6	6
5	Event #114	2	Worse	2	4
5	Event #115	2	Observer	2	4
5	Event #116	2	Observer	1	5
5	Event #118	2	Worse	3	2
5	Event #119	2	Worse	3	5
5	Event #120	2	Observer	4	5
6	Event #001	2	Better	3	3
6	Event #002	2	Observer	4	6
6	Event #003	2	Observer	4	5
6	Event #004	2	Observer	2	6
6	Event #005	2	Observer	5	4
6	Event #006	2	Worse	5	4
6	Event #008	2	Worse	5	4
6	Event #009	2	Better	6	5
6	Event #010	2	Better	3	3
6	Event #012	2	Observer	4	3
6	Event #013	2	Better	6	5
6	Event #015	2	Observer	5	5
6	Event #016	2	Observer	2	4
6	Event #017	2	Observer	3	3
6	Event #018	2	Remember	3	2
6	Event #019	2	Worse	4	4
6	Event #020	2	Observer	6	5
6	Event #021	2	Observer	2	
6	Event #022	2	Observer	4	5
6	Event #023	2	Observer	4	4
6	Event #024	2	Remember	6	5
6	Event #025	2	Remember	6	5
6	Event #027	2	Better	4	4
6	Event #028	2	Remember	4	4
6	Event #029	2	Better	3	3
6	Event #030	2	Observer	1	2
6	Event #032	2	Worse	4	3
6	Event #033	2	Remember	1	4
6	Event #034	2	Better	2	3
6	Event #035	2	Worse	2	2
6	Event #036	2	Worse	3	4
6	Event #037	2	Observer	4	4
6	Event #038	2	Remember		3
6	Event #039	2	Observer	3	3
6	Event #040	2	Worse	3	4
